akt.citace;akt.název.vyhlášený;short_name;core_weak;core_strong;length;valid_from;n_ver;av_ver_life;int_n;ext_n;autonomy_coeff;int_link_dens;ext_link_dens;degree_in;degree_in_mult;degree_out;degree_out_mult;harmonic_centrality_in;harmonic_centrality_out;harmonic_centrality_all;knn_in;knn_out;knn_all;transitivity;page_rank_normal;hub_score;authority_score;betweenness;eigen_centrality;burt_constraint
82/1998 Sb.;Zákon o odpovědnosti za škodu způsobenou při výkonu veřejné moci rozhodnutím nebo nesprávným úředním postupem a o změně zákona České národní rady č. 358/1992 Sb., o notářích a jejich činnosti (notářský řád);Zákon o odpovědnosti státu za škodu;TRUE;TRUE;195;1998-04-15;11;851,1818181818181;22;17;0,5641025641025641;0,11282051282051282;0,087179487179487175;19;30;12;17;217,913888888889772;186,3063492063491253;290,472222222223138;18,000000000000000;37,8235294117647030;70,42553191489361;0,2215053763440860;0,000983299378676921;1,59246544420523e-03;4,59405499797587e-04;6,48719546008492e+02;6,07459361908341e-03;0,1001093052282425
123/1998 Sb.;Zákon o právu na informace o životním prostředí;Zákon o právu na informace o životním prostředí;TRUE;TRUE;382;1998-06-08;10;1017,6666666666667;55;45;0,5500000000000000;0,14397905759162305;0,117801047120418848;9;23;31;45;175,578679653678705;205,0178571428584746;290,502020202021129;22,478260869565219;32,0666666666666700;80,33823529411765;0,3320512820512820;0,000768080103317138;7,40444877305710e-03;7,42873584583390e-04;3,10296502668592e+02;4,00188322334143e-03;0,0728206390260585
155/1998 Sb.;Zákon o znakové řeči a o změně dalších zákonů;Zákon o znakové řeči;TRUE;TRUE;48;1998-07-13;4;2326,0104166666670;2;2;0,5000000000000000;0,04166666666666666;0,041666666666666664;7;7;2;2;228,704304029305916;156,7440476190468814;274,202777777780568;87,000000000000000;44,5000000000000000;119,77777777777777;0,3611111111111111;0,001098812418297313;7,42610841316780e-05;1,42506385438183e-04;2,02517606796009e+02;6,32735842448744e-03;0,1455942719180640
156/1998 Sb.;Zákon o hnojivech, pomocných půdních látkách, rostlinných biostimulantech a substrátech a o agrochemickém zkoušení zemědělských půd (zákon o hnojivech);Zákon o hnojivech;TRUE;TRUE;314;1998-07-13;22;437,7162698412698;99;29;0,7734375000000000;0,31528662420382164;0,092356687898089165;8;12;15;29;186,901587301586062;192,8452380952385283;273,361111111113928;20,416666666666668;43,8620689655172384;101,19512195121951;0,3241106719367589;0,000434766656582420;2,69445644962807e-03;2,53702394929881e-04;3,98092417430074e+02;1,08400339007213e-03;0,1204432495694105
167/1998 Sb.;Zákon o návykových látkách a o změně některých dalších zákonů;Zákon o návykových látkách;TRUE;TRUE;693;1998-07-15;33;276,7285353535353;424;42;0,9098712446351931;0,61183261183261184;0,060606060606060608;19;27;15;42;240,569047619049996;180,2563492063487729;297,102777777777760;41,074074074074076;36,8571428571428541;88,34782608695652;0,2727272727272727;0,001231624527765288;9,36977109438539e-04;5,03602354358354e-04;7,57174523775101e+02;1,64372190339467e-02;0,1924980603315986
107/1999 Sb.;Zákon o jednacím řádu Senátu;Zákon o jednacím řádu Senátu;TRUE;TRUE;1088;1999-06-08;11;813,7348484848485;181;68;0,7269076305220884;0,16636029411764705;0,062500000000000000;1;1;13;68;187,534126984126033;156,1551587301580923;244,810912698414199;145,000000000000000;17,4705882352941160;54,94202898550725;0,3076923076923077;0,000341668716782465;1,28222919757172e-03;2,32702852532550e-05;6,02838581101669e+02;2,98592035504152e-03;0,4110998503547889
158/1999 Sb.;Zákon o sčítání lidu, domů a bytů v roce 2001;Zákon o sčítání lidu, domů a bytů v roce 2001;TRUE;TRUE;239;1999-07-23;1;8914,0416666666661;37;11;0,7708333333333334;0,15481171548117154;0,046025104602510462;2;2;8;11;183,758730158728952;176,0083333333326721;261,922222222225116;27,500000000000000;39,7272727272727266;89,15384615384616;0,2444444444444445;0,000315719094712912;3,35602656710428e-04;2,50540094099397e-05;6,42090987683646e+01;2,43507959060386e-04;0,1686502706284744
189/1999 Sb.;Zákon o nouzových zásobách ropy, o řešení stavů ropné nouze a o změně některých souvisejících zákonů (zákon o nouzových zásobách ropy);Zákon o nouzových zásobách ropy;TRUE;TRUE;199;1999-09-02;9;1103,3750000000000;106;9;0,9217391304347826;0,53266331658291455;0,045226130653266333;6;9;6;9;178,702020202019185;150,6063492063483693;251,361111111113019;40,666666666666664;32,0000000000000000;86,11111111111111;0,1818181818181818;0,000507417739468997;6,87434521374900e-04;3,42772296607552e-04;2,75603359271256e+01;3,01734715979624e-03;0,1635913007213606
219/1999 Sb.;Zákon o ozbrojených silách České republiky;Zákon o ozbrojených silách;TRUE;TRUE;601;1999-10-12;16;586,4666666666667;85;32;0,7264957264957265;0,14143094841930118;0,053244592346089852;33;53;21;32;248,009859584861744;196,1563492063498018;310,888888888887209;27,943396226415093;25,8125000000000000;59,83529411764706;0,1376659678546471;0,002281518967223508;7,62725422352923e-04;1,01271992386315e-03;2,92098810043172e+03;1,29632734246061e-02;0,0610989380757159
222/1999 Sb.;Zákon o zajišťování obrany České republiky;Zákon o zajišťování obrany;TRUE;TRUE;469;1999-10-12;15;628,3571428571429;55;22;0,7142857142857143;0,11727078891257996;0,046908315565031986;48;64;12;22;250,098412698414933;186,0773809523808495;316,488888888886663;24,359375000000000;35,5454545454545467;76,45348837209302;0,2107344632768362;0,002003928589226516;1,21020256827093e-02;9,69049014032571e-03;1,84468020977787e+03;1,03123667265560e-02;0,0509976634137307
306/1999 Sb.;Zákon o poskytování dotací soukromým školám, předškolním a školským zařízením;Zákon o dotacích soukromým školám;TRUE;TRUE;72;1999-12-03;11;799,6363636363636;30;12;0,7142857142857143;0,41666666666666669;0,166666666666666657;2;5;5;12;172,153174603173710;166,2634920634911566;247,677777777779596;17,399999999999999;41,0833333333333357;84,23529411764706;0,2380952380952381;0,000365671635854834;4,48176169665675e-04;5,35136374589581e-05;1,57451989454468e+01;1,02823845842513e-03;0,3798123674800419
310/1999 Sb.;Zákon o pobytu ozbrojených sil jiných států na území České republiky;Zákon o pobytu ozbrojených sil jiných států;TRUE;TRUE;47;1999-12-13;3;3026,9791666666665;2;4;0,3333333333333333;0,04255319148936170;0,085106382978723402;9;11;1;4;209,832142857143253;75,2302059052066596;251,838888888890864;27,000000000000000;21,0000000000000000;58,73333333333333;0,2666666666666667;0,000591709010910861;1,40978760205245e-05;1,41057056792983e-04;0,00000000000000e+00;3,59316800126598e-03;0,1983334711219055
325/1999 Sb.;Zákon o azylu a o změně zákona č. 283/1991 Sb., o Policii České republiky, ve znění pozdějších předpisů, (zákon o azylu);Zákon o azylu;TRUE;TRUE;1230;1999-12-23;39;225,8399122807018;439;91;0,8283018867924529;0,35691056910569108;0,073983739837398380;38;105;21;91;224,840476190477716;199,7285714285724225;293,629797979798354;51,371428571428574;54,7802197802197810;125,77040816326530;0,2051431911163062;0,005142095289830457;3,34281003359486e-03;2,01785174229475e-03;9,92091708474332e+02;6,55634691703756e-02;0,1592850483613598
349/1999 Sb.;Zákon o Veřejném ochránci práv;Zákon o Veřejném ochránci práv;TRUE;TRUE;196;1999-12-30;15;580,6000000000000;54;9;0,8571428571428571;0,27551020408163263;0,045918367346938778;16;16;8;9;229,751190476192306;190,6678571428574003;293,972222222222513;30,312500000000000;43,2222222222222214;74,68000000000001;0,2536231884057971;0,000734300200625618;1,11540611613472e-04;4,55619298152594e-03;6,74848969483077e+02;4,45263995695439e-03;0,0579589181446616
26/2000 Sb.;Zákon o veřejných dražbách;Zákon o veřejných dražbách;TRUE;TRUE;557;2000-02-22;19;455,0548245614035;101;39;0,7214285714285714;0,18132854578096949;0,070017953321364457;14;23;21;39;217,677716727717694;194,3845238095242962;296,538888888888948;92,086956521739125;47,3846153846153868;159,66129032258064;0,2857142857142857;0,002621912349825821;6,04017119888825e-03;6,70621881718036e-04;2,05269586886315e+03;2,47872565122614e-02;0,1275322789464255
